GMU,Hunt_Number,Hunt_Type,Season,Sex,Date,Restrictions
1,,General,Spring,Male (or bearded),April 15 - May 25,
1,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
2,,General,Spring,Male (or bearded),April 15 - May 25,
2,,General,Spring,Male (or bearded),April 15 - April 30,"Archery only, Archery Permit Required"
2,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
3,,General,Spring,Male (or bearded),April 15 - May 25,
3,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
4,,General,Spring,Male (or bearded),April 15 - May 25,
4,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
5,,General,Spring,Male (or bearded),April 15 - May 25,
5,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
6,,General,Spring,Male (or bearded),April 15 - May 25,
6,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
7,,General,Spring,Male (or bearded),April 15 - May 25,
7,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
8,,General,Spring,Male (or bearded),April 15 - May 25,
8,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
9,,General,Spring,Male (or bearded),April 15 - May 25,
9,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
10,,General,Spring,Male (or bearded),April 15 - May 25,
10,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
11,,General,Spring,Male (or bearded),April 15 - May 25,
11,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
12,,General,Spring,Male (or bearded),April 15 - May 25,
12,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
13,,General,Spring,Male (or bearded),April 15 - May 25,
13,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
14,,General,Spring,Male (or bearded),April 15 - May 25,
14,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
15,,General,Spring,Male (or bearded),April 15 - May 25,
15,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
16,,General,Spring,Male (or bearded),April 15 - May 25,
